Authors,DOI,DataSourceType,FeatureName,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolution_meters
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T68,68.6201,-149.3156,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T67,68.7065,-149.7378,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T36,68.7892,-149.5569,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T66,68.8027,-149.5404,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T37C,68.8868,-149.6212,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T37A,68.8717,-149.5745,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T65,68.9047,-149.5195,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T64,69.0567,-148.5481,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T63,69.0186,-148.8628,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T62,68.9926,-148.8376,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T61,68.9039,-148.8947,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T60,68.8707,-148.9249,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T59,68.7974,-148.9599,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T58,68.7853,-148.9672,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T57,68.7667,-148.9479,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
