"Authors","DOI","DataSourceType","FeatureName","Latitude","Longitude","FeatureType","FeatureCategory","ThawType","Imagery","ImageryDates","ImageryResolution_meters"
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear 4",68.525019,-149.539186,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","t2011-2 wt (Andrew)",68.985503,-150.717242,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Bert and Ernie",68.04517,-158.80459,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Gunstink1",68.963423,-150.732598,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Gunstink2",68.882584,-150.575489,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Gunstink3",68.875634,-150.546675,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","ITK II wt",68.6666,-149.8188,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","ITK II R",68.667799,-149.819846,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Marilyn",67.86232,-157.52834,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Monroe",67.87618,-157.53116,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Selawik",66.497011,-157.60838,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Stinking Bluffs",69.5683,-150.8701,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear lake WT",68.527,-149.511,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Team America",68.05297,-158.579,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","TW1",67.962,-156.7889,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Twin 2",67.96171,-156.79151,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Twin 3",67.9619,-156.792,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Wood Pile",67.90087,-156.48305,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Balser & Jorgenson (2013)","https://doi.org/10.18739/A2JG7M","Field - published","Nstk-3u",68.87147,-149.57768,"Thermokarst","Thermokarst","Abrupt","","",""
